leaf,path,gb_taxon_id,name,level,type,href,plink,pcount
True,0.2509481.694003.11128,422140,Calf-giraffe coronavirus US/OH3/2006,no rank,square,wwwtax.cgi?mode=Info&id=422140&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422140[Organism:exp],11
True,0.2509481.694003.11128,422141,Giraffe coronavirus US/OH3-TC/2006,no rank,square,wwwtax.cgi?mode=Info&id=422141&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422141[Organism:exp],11
True,0.2509481.694003.11128,422139,Giraffe coronavirus US/OH3/2003,no rank,square,wwwtax.cgi?mode=Info&id=422139&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422139[Organism:exp],11
False,0.2509481.694003.11128,166124,Human enteric coronavirus 4408,no rank,circle,wwwtax.cgi?mode=Tree&id=166124&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid166124[Organism:exp],30
True,0.2509481.694003.11128.166124,627439,Human enteric coronavirus strain 4408,no rank,square,wwwtax.cgi?mode=Info&id=627439&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid627439[Organism:exp],12
True,0.2509481.694003.11128,422138,Sable antelope coronavirus US/OH1/2003,no rank,square,wwwtax.cgi?mode=Info&id=422138&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422138[Organism:exp],11
True,0.2509481.694003.11128,422133,Sambar deer coronavirus US/OH-WD388-TC/1994,no rank,square,wwwtax.cgi?mode=Info&id=422133&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422133[Organism:exp],23
True,0.2509481.694003.11128,422132,Sambar deer coronavirus US/OH-WD388/1994,no rank,square,wwwtax.cgi?mode=Info&id=422132&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422132[Organism:exp],12
True,0.2509481.694003.11128,2126133,Water deer coronavirus,no rank,square,wwwtax.cgi?mode=Info&id=2126133&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2126133[Organism:exp],12
True,0.2509481.694003.11128,502096,Waterbuck coronavirus US/OH-WD358-GnC/1994,no rank,square,wwwtax.cgi?mode=Info&id=502096&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502096[Organism:exp],11
True,0.2509481.694003.11128,422137,Waterbuck coronavirus US/OH-WD358-TC/1994,no rank,square,wwwtax.cgi?mode=Info&id=422137&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422137[Organism:exp],11
True,0.2509481.694003.11128,422135,Waterbuck coronavirus US/OH-WD358/1994,no rank,square,wwwtax.cgi?mode=Info&id=422135&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422135[Organism:exp],11
True,0.2509481.694003.11128,422134,White-tailed deer coronavirus US/OH-WD470/1994,no rank,square,wwwtax.cgi?mode=Info&id=422134&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid422134[Organism:exp],10
True,0.2509481.694003,215681,Canine respiratory coronavirus,no rank,square,wwwtax.cgi?mode=Info&id=215681&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid215681[Organism:exp],158
False,0.2509481.694003,2030446,Coronavirus HKU23,no rank,circle,wwwtax.cgi?mode=Tree&id=2030446&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2030446[Organism:exp],89
True,0.2509481.694003.2030446,1479610,Dromedary camel coronavirus HKU23,no rank,square,wwwtax.cgi?mode=Info&id=1479610&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1479610[Organism:exp],88
False,0.2509481.694003,136187,Equine coronavirus,no rank,circle,wwwtax.cgi?mode=Tree&id=136187&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid136187[Organism:exp],83
True,0.2509481.694003.136187,202496,Equine coronavirus NC99,no rank,square,wwwtax.cgi?mode=Info&id=202496&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid202496[Organism:exp],8
True,0.2509481.694003,31631,Human coronavirus OC43,no rank,square,wwwtax.cgi?mode=Info&id=31631&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid31631[Organism:exp],2667
False,0.2509481.694003,42005,Porcine hemagglutinating encephalomyelitis virus,no rank,circle,wwwtax.cgi?mode=Tree&id=42005&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid42005[Organism:exp],214
True,0.2509481.694003.42005,230237,Porcine hemagglutinating encephalomyelitis virus (strain 67N),no rank,square,wwwtax.cgi?mode=Info&id=230237&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid230237[Organism:exp],8
True,0.2509481.694003.42005,230236,Porcine hemagglutinating encephalomyelitis virus (strain IAF-404),no rank,square,wwwtax.cgi?mode=Info&id=230236&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid230236[Organism:exp],8
True,0.2509481.694003,2501420,Yak coronavirus,no rank,square,wwwtax.cgi?mode=Info&id=2501420&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2501420[Organism:exp],140
False,0.2509481,2501960,China Rattus coronavirus HKU24,species,circle,wwwtax.cgi?mode=Tree&id=2501960&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2501960[Organism:exp],40
True,0.2509481.2501960,1590370,Betacoronavirus HKU24,no rank,square,wwwtax.cgi?mode=Info&id=1590370&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1590370[Organism:exp],40
False,0.2509481,290028,Human coronavirus HKU1,species,circle,wwwtax.cgi?mode=Tree&id=290028&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid290028[Organism:exp],759
True,0.2509481.290028,443239,Human coronavirus HKU1 (isolate N1),no rank,square,wwwtax.cgi?mode=Info&id=443239&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid443239[Organism:exp],15
True,0.2509481.290028,443240,Human coronavirus HKU1 (isolate N2),no rank,square,wwwtax.cgi?mode=Info&id=443240&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid443240[Organism:exp],9
True,0.2509481.290028,443241,Human coronavirus HKU1 (isolate N5),no rank,square,wwwtax.cgi?mode=Info&id=443241&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid443241[Organism:exp],12
False,0.2509481,694005,Murine coronavirus,species,circle,wwwtax.cgi?mode=Tree&id=694005&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid694005[Organism:exp],650
False,0.2509481.694005,11138,Murine hepatitis virus,no rank,circle,wwwtax.cgi?mode=Tree&id=11138&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11138[Organism:exp],474
True,0.2509481.694005.11138,591071,Murine coronavirus inf-MHV-A59,no rank,square,wwwtax.cgi?mode=Info&id=591071&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid591071[Organism:exp],13
True,0.2509481.694005.11138,502106,Murine coronavirus MHV-1,no rank,square,wwwtax.cgi?mode=Info&id=502106&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502106[Organism:exp],9
True,0.2509481.694005.11138,502104,Murine coronavirus MHV-3,no rank,square,wwwtax.cgi?mode=Info&id=502104&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502104[Organism:exp],9
True,0.2509481.694005.11138,591068,Murine coronavirus MHV-JHM.IA,no rank,square,wwwtax.cgi?mode=Info&id=591068&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid591068[Organism:exp],11
True,0.2509481.694005.11138,591069,Murine coronavirus RA59/R13,no rank,square,wwwtax.cgi?mode=Info&id=591069&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid591069[Organism:exp],9
True,0.2509481.694005.11138,502107,Murine coronavirus RA59/SJHM,no rank,square,wwwtax.cgi?mode=Info&id=502107&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502107[Organism:exp],9
True,0.2509481.694005.11138,429331,Murine coronavirus repA59/RJHM,no rank,square,wwwtax.cgi?mode=Info&id=429331&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid429331[Organism:exp],10
True,0.2509481.694005.11138,429330,Murine coronavirus repJHM/RA59,no rank,square,wwwtax.cgi?mode=Info&id=429330&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid429330[Organism:exp],10
True,0.2509481.694005.11138,591070,Murine coronavirus RJHM/A,no rank,square,wwwtax.cgi?mode=Info&id=591070&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid591070[Organism:exp],11
True,0.2509481.694005.11138,430472,Murine coronavirus SA59/RJHM,no rank,square,wwwtax.cgi?mode=Info&id=430472&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid430472[Organism:exp],11
True,0.2509481.694005.11138,231423,Murine coronavirus strain DVIM,no rank,square,wwwtax.cgi?mode=Info&id=231423&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231423[Organism:exp],4
True,0.2509481.694005.11138,11139,Murine hepatitis virus strain 1,no rank,square,wwwtax.cgi?mode=Info&id=11139&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11139[Organism:exp],2
True,0.2509481.694005.11138,76344,Murine hepatitis virus strain 2,no rank,square,wwwtax.cgi?mode=Info&id=76344&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid76344[Organism:exp],18
True,0.2509481.694005.11138,11140,Murine hepatitis virus strain 3,no rank,square,wwwtax.cgi?mode=Info&id=11140&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11140[Organism:exp],2
True,0.2509481.694005.11138,12760,Murine hepatitis virus strain 4,no rank,square,wwwtax.cgi?mode=Info&id=12760&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid12760[Organism:exp],2
True,0.2509481.694005.11138,11142,Murine hepatitis virus strain A59,no rank,square,wwwtax.cgi?mode=Info&id=11142&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11142[Organism:exp],54
True,0.2509481.694005.11138,11143,Murine hepatitis virus strain defective JHM,no rank,square,wwwtax.cgi?mode=Info&id=11143&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11143[Organism:exp],1
True,0.2509481.694005.11138,11144,Murine hepatitis virus strain JHM,no rank,square,wwwtax.cgi?mode=Info&id=11144&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11144[Organism:exp],38
True,0.2509481.694005.11138,33735,Murine hepatitis virus strain JHMV / variant CL-2,no rank,square,wwwtax.cgi?mode=Info&id=33735&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid33735[Organism:exp],1
True,0.2509481.694005.11138,123595,Murine hepatitis virus strain ML-11,no rank,square,wwwtax.cgi?mode=Info&id=123595&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid123595[Organism:exp],9
True,0.2509481.694005.11138,11145,Murine hepatitis virus strain S,no rank,square,wwwtax.cgi?mode=Info&id=11145&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid11145[Organism:exp],7
True,0.2509481.694005.11138,1163669,Murine hepatitis virus strain S/3239-17,no rank,square,wwwtax.cgi?mode=Info&id=1163669&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1163669[Organism:exp],9
True,0.2509481.694005,76583,Puffinosis coronavirus,no rank,square,wwwtax.cgi?mode=Info&id=76583&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid76583[Organism:exp],4
False,0.2509481.694005,31632,Rat coronavirus,no rank,circle,wwwtax.cgi?mode=Tree&id=31632&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid31632[Organism:exp],91
True,0.2509481.694005.31632,502102,Rat coronavirus Parker,no rank,square,wwwtax.cgi?mode=Info&id=502102&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid502102[Organism:exp],20
True,0.2509481.694005.31632,33740,Rat coronavirus (strain 681),no rank,square,wwwtax.cgi?mode=Info&id=33740&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid33740[Organism:exp],10
True,0.2509481.694005.31632,231433,Rat coronavirus (strain NJ),no rank,square,wwwtax.cgi?mode=Info&id=231433&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid231433[Organism:exp],3
True,0.2509481.694005.31632,92931,Rat sialodacryoadenitis coronavirus,no rank,square,wwwtax.cgi?mode=Info&id=92931&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid92931[Organism:exp],11
False,0.2509481.694005,2724078,unclassified Embecovirus,no rank,circle,wwwtax.cgi?mode=Tree&id=2724078&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2724078[Organism:exp],121
True,0.2509481.694005.2724078,1699096,Camel coronavirus HKU23,species,square,wwwtax.cgi?mode=Info&id=1699096&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1699096[Organism:exp],20
True,0.2509481.694005.2724078,1508222,Longquan Aa mouse coronavirus,species,square,wwwtax.cgi?mode=Info&id=1508222&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1508222[Organism:exp],18
True,0.2509481.694005.2724078,1508223,Longquan Rl rat coronavirus,species,square,wwwtax.cgi?mode=Info&id=1508223&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1508223[Organism:exp],30
True,0.2509481.694005.2724078,1160968,Rabbit coronavirus HKU14,species,square,wwwtax.cgi?mode=Info&id=1160968&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1160968[Organism:exp],53
False,0.2509481.694005,2509486,Hibecovirus,subgenus,circle,wwwtax.cgi?mode=Tree&id=2509486&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2509486[Organism:exp],29
False,0.2509481.694005.2509486,2501961,Bat Hp-betacoronavirus Zhejiang2013,species,circle,wwwtax.cgi?mode=Tree&id=2501961&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2501961[Organism:exp],18
True,0.2509481.694005.2509486.2501961,1541205,Bat Hp-betacoronavirus/Zhejiang2013,no rank,square,wwwtax.cgi?mode=Info&id=1541205&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1541205[Organism:exp],18
False,0.2509481.694005.2509486,2729735,unclassified Hibecovirus,no rank,circle,wwwtax.cgi?mode=Tree&id=2729735&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2729735[Organism:exp],11
True,0.2509481.694005.2509486.2729735,989337,Zaria bat coronavirus,species,square,wwwtax.cgi?mode=Info&id=989337&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid989337[Organism:exp],11
False,0.2509481.694005.2509486,2509494,Merbecovirus,subgenus,circle,wwwtax.cgi?mode=Tree&id=2509494&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid2509494[Organism:exp],8217
False,0.2509481.694005.2509486.2509494,1965093,Hedgehog coronavirus 1,species,circle,wwwtax.cgi?mode=Tree&id=1965093&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1965093[Organism:exp],50
True,0.2509481.694005.2509486.2509494.1965093,1385427,Betacoronavirus Erinaceus/VMC/DEU/2012,no rank,square,wwwtax.cgi?mode=Info&id=1385427&lvl=10&p=protein&lin=f&keep=1&srchmode=1&unlock,/protein/?term=txid1385427[Organism:exp],38
